round,country,survey_date,site_id,site_name,site_region,site_provence,site_district,site_latitude,site_longitude,site_location,site_class,site_type,site_shelter,smc_exist,smc_community,sma_exist,sma_name,sma_type,site_status,shelter_rem,site_electricty,water_operational,n_family,n_infants_male,n_infants_female,n_child_male,n_child_female,n_youth_male,n_youth_female,n_adult_male,n_adult_female,n_elder_male,n_elder_female,n_total,n_pregnant,n_lactating,n_physical_dis,n_mental_dis,n_chronic_ill,n_hoh_child,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,idp_leaving,return_area,origin_region,origin_province,origin_district,per_hh_outside,per_hh_tents,per_hh_makeshift,per_hh_indoors,water_location,n_latrine,latrine_gender,bathing_gender,food_freq,food_sup_lac,food_sup_child,food_source,health_issue,health_issue_b,edu_access_i,edu_distance,per_sch,sec_provided,sec_reported,gbv_report,site_lighting,info_main,job_abr,job_farm,job_cattle,job_fishing,job_business
1,Haiti,05/04/17,811-09-S025,Maison Elys_e,Grande Anse,Jeremie,Fond Rouge De Torbec,18.65203,-74.123,Source Dommage,Spontaneous,Host Communities,Private House,No,No,No,Unknown,Unknown,No,Concrete,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge De Torbec,Unknown,Unknown,1%-25%,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/11/17,811-04-S010,Site Vertigo,Grande Anse,Jeremie,Basse Guinaudee,18.61795,-74.11555,A l'entr_e de l'hotel Vertigo,Spontaneous,Group Sites,Makeshift,No,No,No,Unknown,None,Yes,shelter,No electricity,No running water,13,1,1,5,0,6,7,8,9,2,2,41,3,1,1,0,6,3,0,0,0,0,0,No,"none, stay here",Grande Anse,Jeremie,Basse Guinaudee,Unknown,Unknown,51%-75%,Unknown,On-site (>20 minutes),0,No,No,Never,No,No,Market,Malaria,Skin infections,Yes,<1km,<25%,No,No,No,No lighting,Shelter,No,1%-25%,0%,0%,0%
1,Haiti,05/11/17,811-04-S011,Kafou diri,Grande Anse,Jeremie,Basse Guinaudee,18.62876,-74.10999,Gebeau,Spontaneous,Group Sites,Makeshift,No,No,No,Unknown,None,Yes,shelter,No electricity,No running water,56,1,2,16,19,27,28,48,45,7,4,197,4,6,2,3,2,0,0,0,0,0,0,No,"none, stay here",Grande Anse,Jeremie,Basse Guinaudee,Unknown,Unknown,51%-75%,Unknown,Off-site (>20 minutes),0,No,No,Never,No,No,Market,Malaria,Skin infections,Yes,<1km,<25%,No,No,No,No lighting,Shelter,No,1%-25%,0%,0%,0%
1,Haiti,05/11/17,811-04-S013,Site VÅ_say,Grande Anse,Jeremie,Basse Guinaudee,18.63559,-74.10993,VÅ_say,Planned,Group Sites,Makeshift,No,No,No,Unknown,None,Yes,shelter,No electricity,No running water,67,12,15,20,17,69,73,97,99,3,7,412,4,5,2,0,0,0,0,0,0,0,0,No,"none, stay here",Grande Anse,Jeremie,Basse Guinaudee,Unknown,Unknown,51%-75%,Unknown,Off-site (>20 minutes),0,Unknown,Unknown,Never,No,No,Market,Malaria,Skin infections,Yes,<1km,<50%,No,No,No,No lighting,Shelter,No,1%-25%,0%,1%-25%,0%
1,Haiti,05/09/17,811-08-S011,Chez Mr Marcus,Grande Anse,Jeremie,Fond Rouge Daiyer,18.64141,-74.11362,Morne Canova,Spontaneous,Group Sites,Private House,No,No,No,Unknown,Unknown,No,Concrete,"Yes, Generator","Yes, Water Truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge Daiyer,Unknown,Unknown,76%-100%,Unknown,Unknown,3,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/09/17,811-08-S014,Ecole Commnautaire de J_r_mie,Grande Anse,Jeremie,Fond Rouge Daiyer,18.63547,-74.18623,Sur la route de Bordes,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Wooden Building,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge Daiyer,Unknown,Unknown,76%-100%,Unknown,Unknown,4,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/05/17,811-09-S041,Maison Jean Baptiste Jean Dunal,Grande Anse,Jeremie,Fond Rouge De Torbec,18.64958,-74.17302,Sur la route de Bordes,Spontaneous,Group Sites,Private House,Unknown,Unknown,Unknown,Unknown,Unknown,No,Wooden Building,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge De Torbec,Unknown,Unknown,76%-100%,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/11/17,811-01-S016,Site Chateau,Grande Anse,Jeremie,Basse Guinaudee,18.6223,-74.09286,Sur la route Nationale #7,Spontaneous,Group Sites,Makeshift,No,No,No,Unknown,None,Yes,shelter,No electricity,No running water,93,42,47,54,65,61,69,60,70,8,10,486,1,7,3,0,0,1,0,0,0,0,0,No,"none, stay here",Grande Anse,Jeremie,Basse Guinaudee,Unknown,Unknown,76%-100%,Unknown,Off-site (<20 minutes),0,No,No,Never,No,No,Market,Malaria,Skin infections,Yes,<1km,>75%,No,No,No,No lighting,Shelter,No,1%-25%,0%,0%,0%
1,Haiti,15/05/17,832-03-S003,Ecole Nationale Grand Vincent,Grande Anse,Roseaux,Grand Vincent,18.55744,-74.06989,Grand vincent,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Wooden Building,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Grand Vincent,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,,College St Martin de Tours de Grand Vincent,Grande Anse,Roseaux,Grand Vincent,18.5596,-74.06805,Grand vincent,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Concrete,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Grand Vincent,Unknown,Unknown,Unknown,Unknown,Unknown,3,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,,Centre COHIMRU,Grande Anse,Roseaux,Grand Vincent,18.56651,-74.06877,Grand vincent,Spontaneous,Group Sites,Cultural Center,No,No,No,Unknown,Unknown,No,Wooden Building,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Grand Vincent,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,832-03-S005,Eglise Methodiste Chiraque,Grande Anse,Roseaux,Grand Vincent,18.58081,-74.06927,Grand vincent,Spontaneous,Group Sites,Church,No,No,No,Unknown,Unknown,No,Wooden Building,"Yes, Generator",No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Grand Vincent,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,,Ecole Catholique de Jacquet,Grande Anse,Roseaux,Les Gommiers,18.5822,-74.05685,Jacquet,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Wooden Building,No electricity,"Yes, NGO, Organization",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Les Gommiers,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,,Ecole Nationale de Carrefour Charles,Grande Anse,Roseaux,Carrefour Charles/Ja,18.53189,-73.99501,Sur la route Nationale #7,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Concrete,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Carrefour Charles/Ja,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,832-04-S007,Mairie des Roseaux,Grande Anse,Roseaux,Les Gommiers,18.60096,-74.01928,Sur la route Nationale #7,Spontaneous,Group Sites,Communal House,No,No,No,Unknown,Unknown,No,Concrete,"Yes, Generator",No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Les Gommiers,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,,Ecole Nationale de St Joseph,Grande Anse,Roseaux,Carrefour Charles/Ja,18.57446,-74.99068,Sur la route Nationale #7,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Concrete,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Carrefour Charles/Ja,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/02/17,811-09-S044,CollÅ_ge LumiÅ_re,Grande Anse,Jeremie,Fond Rouge De Torbec,18.64718,-74.11169,Anba lí_j,Spontaneous,Group Sites,School,No,No,No,Unknown,None,No,Concrete,"Yes, Generator",No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge De Torbec,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,"Diarrheal, gastrointestinal diseases",Skin infections,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/08/17,811-09-S059,Maison Otese B. Pierrelien,Grande Anse,Jeremie,Fond Rouge De Torbec,18.6486,-74.11971,Au dos du lyc_e Nord Alexis,Spontaneous,Group Sites,Private House,No,No,No,Unknown,Unknown,No,Concrete,"Yes, Regularly","Yes, Water Truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge De Torbec,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/05/17,811-09-S029,Maison Marie Ange Saint Fleur Balmir,Grande Anse,Jeremie,Fond Rouge De Torbec,18.64864,-74.11986,Bas du Lyc_e Nord Alexie,Spontaneous,Group Sites,Private House,Unknown,Unknown,Unknown,Unknown,Unknown,No,Wooden Building,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge De Torbec,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/12/17,,Institution St Anne,Grande Anse,Jeremie,Basse Voldrogue,18.57922,-74.11064,Basse voldrogue,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Concrete,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Basse Voldrogue,Unknown,Unknown,Unknown,Unknown,Unknown,3,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,,Ecole Nationale de Carrefour Tima,Grande Anse,Roseaux,Carrefour Charles/Ja,18.5801,-73.99745,Sur la route Nationale #7,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Wooden Building,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Place of Origin,Grande Anse,Roseaux,Carrefour Charles/Ja,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,,Ecole Nationale des Roseaux,Grande Anse,Roseaux,Les Gommiers,18.59885,-74.01234,Sur la route Nationale #7,Spontaneous,Group Sites,School,No,Unknown,Unknown,Unknown,Unknown,No,Wooden Building,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Les Gommiers,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,,Eglise Catholique Roseaux,Grande Anse,Roseaux,Fond Cochon,18.60012,-74.01891,Sur la route Nationale #7,Spontaneous,Group Sites,Church,No,No,No,Unknown,Unknown,No,Wooden Building,"Yes, Generator",No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Fond Cochon,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,15/05/17,,Ecole Nationale des Gommiers,Grande Anse,Roseaux,Grand Vincent,18.60592,-74.04981,Sur la route Nationale #7,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Concrete,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Roseaux,Les Gommiers,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,16/05/17,,Ecole Mains contr_es,Grande Anse,Beaumont,Beaumont,18.47928,-73.96471,Beaumont,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Concrete,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Beaumont,Beaumont,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,16/05/17,833-01-S004,EFACAP Beaumont,Grande Anse,Beaumont,Beaumont,18.47483,-73.94673,Beaumont,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Concrete,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Beaumont,Beaumont,Unknown,Unknown,Unknown,Unknown,Unknown,3,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/02/17,811-09-S035,Bibliotheque Carl Edward Peter,Grande Anse,Jeremie,Fond Rouge De Torbec,18.64635,-74.11835,Bouette Åç cot_ de l'Evech_,Spontaneous,Group Sites,Library,No,No,No,Unknown,None,No,Concrete,"Yes, Generator","Yes, National Water and Sanitation Company ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge De Torbec,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,Genital Infections,"Diarrheal, gastrointestinal diseases",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/09/17,811-08-S001,Centre Montfort,Grande Anse,Jeremie,Fond Rouge Daiyer,18.63281,-74.1197,Caracolie I,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Concrete,No electricity,"Yes, Water Truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge Daiyer,Unknown,Unknown,Unknown,Unknown,Unknown,3,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/10/17,811-08-S022,Eglise Gospel,Grande Anse,Jeremie,Fond Rouge Daiyer,18.6373,-74.11824,Caracolie I,Spontaneous,Group Sites,Church,No,No,No,Unknown,Unknown,No,Concrete,"Yes, Generator","Yes, Water Truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge Daiyer,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,05/10/17,811-07-S005,Presbitaire du sacr_-coeur,Grande Anse,Jeremie,Fond Rouge Daiyer,18.63171,-74.12082,Caracolie II,Spontaneous,Group Sites,Church,No,No,No,Unknown,Unknown,No,Concrete,"Yes, Generator","Yes, National Water and Sanitation Company ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Jeremie,Fond Rouge Daiyer,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
1,Haiti,16/05/17,833-01-S004,College la Providence,Grande Anse,Beaumont,Beaumont,18.47814,-73.95923,Beaumont,Spontaneous,Group Sites,School,No,No,No,Unknown,Unknown,No,Wooden Building,No electricity,No running water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Place of Origin,Grande Anse,Beaumont,Beaumont,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
